nombre,codigo,casos_totales
Melipeuco,9110,1642
Nueva Imperial,9111,8154
Padre Las Casas,9112,22386
Perquenco,9113,2404
Pitrufquen,9114,7534
Pucon,9115,9279
Puren,9208,3141
Renaico,9209,3692
Saavedra,9116,3375
Temuco,9101,100347
Teodoro Schmidt,9117,3606
Tolten,9118,3135
Traiguen,9210,4739
Victoria,9211,9176
Vilcun,9119,8202
Corral,14102,1892
Futrono,14202,6188
La Union,14201,11925
Lago Ranco,14203,3763
Lanco,14103,6672
Los Lagos,14104,6911
Mafil,14105,2907
Mariquina,14106,8484
Paillaco,14107,6216
Panguipulli,14108,13524
Rio Bueno,14204,8727
Valdivia,14101,68008
Ancud,10202,10184
Calbuco,10102,9251
Castro,10201,13636
Chaiten,10401,1007
Chonchi,10203,3736
Cochamo,10103,903
Curaco de Velez,10204,989
Dalcahue,10205,3832
Fresia,10104,2877
Frutillar,10105,6442
Futaleufu,10402,901
Hualaihue,10403,2104
Llanquihue,10107,5167
Los Muermos,10106,3876
Maullin,10108,3644
Osorno,10301,53743
Palena,10404,702
Puerto Montt,10101,74263
Puerto Octay,10302,2762
Puerto Varas,10109,12826
Puqueldon,10206,1222
Purranque,10303,5590
Puyehue,10304,3613
Queilen,10207,1367
Quellon,10208,7394
Quemchi,10209,1981
Quinchao,10210,1907
Rio Negro,10305,4773
San Juan de la Costa,10306,2500
San Pablo,10307,3588
Aysen,11201,8023
Chile Chico,11401,1773
Cisnes,11202,2115
Cochrane,11301,1342
Coyhaique,11101,20581
Guaitecas,11203,581
Lago Verde,11102,181
OHiggins,11302,125
Rio Ibanez,11402,649
Tortel,11303,185
Antartica,12202,68
Cabo de Hornos,12201,764
Laguna Blanca,12102,57
Natales,12401,10818
Porvenir,12301,2607
Primavera,12302,96
Punta Arenas,12101,53691
Rio Verde,12103,40
San Gregorio,12104,145
Timaukel,12303,54
Torres del Paine,12402,116
